Ano;AC;AL;AP;AM;BA;CE;DF;ES;GO;MA;MT;MS;MG;PA;PB;PR;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
'2013;4.7;118.5;5.1;2.4;26.6;59.0;482.7;83.3;18.9;20.5;3.5;7.2;35.1;6.4;69.3;55.2;93.9;12.7;373.9;63.9;41.5;7.3;2.2;69.3;175.9;100.2;5.3
'2014;4.8;119.3;5.3;2.5;26.8;59.4;493.5;84.3;19.2;20.6;3.6;7.3;35.4;6.5;69.8;55.6;94.6;12.7;376.0;64.5;41.7;7.4;2.2;70.3;177.4;101.3;5.4
'2015;4.9;120.0;5.4;2.5;26.9;59.8;504.3;85.3;19.4;20.8;3.6;7.4;35.6;6.6;70.3;56.0;95.3;12.7;378.0;65.2;41.9;7.4;2.3;71.2;178.9;102.3;5.5
'2016;5.0;120.6;5.5;2.6;27.1;60.2;515.1;86.2;19.7;20.9;3.7;7.5;35.8;6.6;70.8;56.4;95.9;12.8;380.0;65.8;42.0;7.5;2.3;72.2;180.3;103.4;5.5
'2017;5.1;121.2;5.6;2.6;27.2;60.6;525.9;87.1;19.9;21.1;3.7;7.6;36.0;6.7;71.3;56.8;96.6;12.8;381.9;66.4;42.1;7.6;2.3;73.1;181.7;104.4;5.6
'2018;5.3;119.3;5.8;2.6;26.2;61.0;514.7;86.2;20.3;21.2;3.8;7.7;35.9;6.8;70.8;56.9;96.8;13.0;391.9;65.9;42.2;7.4;2.6;73.9;183.5;103.9;5.6
'2019;5.4;119.8;5.9;2.7;26.3;61.3;521.7;87.2;20.6;21.3;3.9;7.8;36.1;6.9;71.2;57.4;97.4;13.0;394.3;66.4;42.3;7.5;2.7;74.8;185.0;104.9;5.7
'2020;5.4;120.4;6.0;2.7;26.4;61.7;528.6;88.2;20.9;21.4;3.9;7.9;36.3;7.0;71.5;57.8;98.1;13.0;396.7;66.9;42.5;7.6;2.8;75.8;186.5;105.8;5.7
