Ano;AC;AL;AP;AM;BA;CE;DF;ES;GO;MA;MT;MS;MG;PA;PB;PR;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
'2013;9229;15720;2294;23947;84970;56140;26590;83110;159815;4443;45284;98924;501899;17475;18002;112356;17802;7075;254654;24655;2390;14198;2234;1154;403936;2411;20992
'2014;36795;16428;2604;11013;24907;41907;20073;25679;122240;3556;11858;9594;93941;9615;7607;56231;19740;9910;15715;14095;783;5159;2192;676;385100;4242;10410
'2015;14320;33953;4434;7833;79322;105880;12981;45005;200448;9711;32207;47636;258341;17088;29966;97930;172890;11243;93268;28375;4131;46;2789;11497;1033012;14773;19155
'2016;9237;24705;3550;15314;83417;100586;24023;54989;157369;29890;31206;60788;666893;19473;44958;135965;120365;8507;115205;63369;8336;15614;1930;14299;465511;7521;19882
'2017;5283;3614;1468;8311;15467;81362;6492;12346;81200;8948;12292;7220;61532;13522;4539;26958;18074;8044;16930;9515;1610;6361;4851;2609;83995;1347;14882
'2018;13017;2973;1422;4687;14174;15198;4141;17385;110303;2745;10151;10708;59362;10053;12535;17962;23532;2813;25014;30224;812;1998;1524;48;76984;541;8236
'2019;17215;27431;915;7740;84815;33359;46251;81383;151156;6662;18089;85264;617296;9072;20929;113510;64209;9767;50876;39866;4186;2479;4173;7506;719157;11533;30901
'2020;14130;3597;142;10464;105995;40084;64579;7544;82143;3213;46693;72934;146813;7321;8342;359115;35396;2885;8385;12766;6520;6490;2348;23043;396015;5243;5625
