Ano;AC;AL;AP;AM;BA;CE;DF;ES;GO;MA;MT;MS;MG;PA;PB;PR;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
'2013;1909.14;902.13;2714.47;2602.14;829.99;597.11;1639.04;1413.18;1650.93;1393.43;1831.92;1433.36;1380.75;2380.72;567;1759.23;576.67;840.96;1665.07;519.29;1669.71;1837.09;2389.29;1869.65;1423.4;866.39;1828.31
'2014;2243;993.61;2365.25;2492.52;701.72;670.7;1342.83;920.74;1462.9;1429.05;1955.04;1510.01;870.17;2250.07;687.79;1857.12;648.08;845.96;870.31;623.28;2127.83;1932.39;1749.98;2098.65;1088.62;838.32;1592.67
'2015;1895.83;715.36;2488.43;2108.76;579;561.66;1204.36;861.21;1346.6;1087.29;1808.55;1639.67;1007.32;1935.23;480.56;2146.55;471.46;612.7;1211.9;457.63;2099.02;1713.47;1817.72;2320.89;1470.73;723.42;1222.46
'2016;1874.84;587.05;2440.85;2090.73;714.03;566.02;1258.07;1063.15;1380.03;1176.6;1906.11;1570.09;1172.44;2136.44;542.79;1672.82;504.37;736.12;1370.18;489.11;1552.04;1502.93;2076.43;1755.45;1350.64;566.28;1282.61
'2017;2018.02;1064.9;2464.41;2278.44;607.56;681.9;1230.97;1005.18;1386.4;1441.89;1956.92;1497.03;974.72;2095.54;559.46;1711.97;545.29;811.91;998.04;534.52;1846.57;1658.64;1930.56;1815.74;1194.66;906.95;1320.86
'2018;2051.84;673.75;2750.9;2496.37;782.19;771.99;1504.59;1376.79;1606.38;1488.52;2023.5;1440.18;1279;2304.79;662.69;1372.67;589.14;963.14;1393.68;662.32;1619.1;1866.18;2415.48;1610.32;1154.46;620.07;1749.54
'2019;2100;888.64;2452.59;2521.46;637.37;788.99;1247.11;1152.22;1358.58;1349.27;1798.53;1268.43;1006.37;2139.16;664.48;1410.93;604.25;843.71;1379.15;654.62;1742.15;1650.8;2564.2;1578.76;1126.49;818.77;1271.12
'2020;1846.16;943.43;2259.45;2441.88;1024.93;890.74;1566.32;1490.75;1602.98;1794.31;1670.8;1265.85;1407.4;2109.68;783.17;1234.75;753.75;1106.93;1503.3;725.09;1313.73;1475.54;2362.15;1433.54;1061.47;1027.66;1729.92
